"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","sim_ticks","num_cycles","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"fluidanimate","512kB","8","LRU","2","2","261556750500","523112398","6.0373","0.392398","1.81007","0.946871","4.31033","2.39726","0.0751148","0.00404522","0.0021161","1.295445","0.5228444999999999","1259017","0.998224","0.99939","2239534"
"fluidanimate","1MB","8","LRU","2","2","261556801500","523112500","8.53152","0.480438","1.81117","0.947445","5.66171","4.89148","0.1631548","0.00514138","0.00268952","2.64683","0.44264349999999997","1026673","0.9994755","0.9995885","1897884"
"fluidanimate","2MB","8","LRU","2","2","261556531500","523111960","12.0949","0.525901","1.81245","0.948112","7.55019","8.45484","0.208618","0.00641361","0.00335503","4.53531","0.2487435","480568","0.998472","0.999228","1078781"
"fluidanimate","4MB","8","LRU","2","2","261556531500","523111960","20.6516","0.728504","1.81411","0.948984","12.1332","17.01154","0.41122","0.00808062","0.0042270699999999994","9.118279999999999","0.132408","158619","0.998827","0.9986174999999999","573582"
"fluidanimate","8MB","8","LRU","2","2","261556531500","523111960","36.7801","1.06368","1.81725","0.950627","20.7472","33.14","0.746394","0.01121982","0.00586923","17.732280000000003","0.10765","90688","0.999996","1.0","469791"
"freqmine","256kB","8","LRU","2","2","1332521706000","2665043916","4.79021","0.350435","1.35325","3.60646","17.3065","1.150172","0.033152","0.008792959999999999","0.0234336","3.17704","0.7345889999999999","5250365","0.9992725","0.999387","56063295"
"freqmine","512kB","8","LRU","2","2","1332522711500","2665045927","6.0373","0.392398","1.35795","3.61899","20.7544","2.39726","0.0751148","0.01349386","0.0359618","6.6249400000000005","0.6994325","3786526","0.9996039999999999","0.9997075","53977334"
"freqmine","1MB","8","LRU","2","2","1332522625000","2665045754","8.53152","0.480438","1.36215","3.6302","27.6475","4.89148","0.1631548","0.01769896","0.0471686","13.518","0.6751585","2771221","0.999782","0.999819","52620791"
"freqmine","2MB","8","LRU","2","2","1332523374000","2665047252","12.0949","0.525901","1.37062","3.65276","37.2877","8.45484","0.208618","0.026163699999999998","0.0697274","23.1582","0.6573855","2056689","0.999797","0.9998715","51636108"
"freqmine","4MB","8","LRU","2","2","1332523374000","2665047252","20.6516","0.728504","1.38287","3.68541","60.6643","17.01154","0.41122","0.038412600000000005","0.1023714","46.5349","0.6502665000000001","1734464","0.999873","0.9999750000000001","51232798"
