"bench","l2_size","l2_assoc","l2_tags","num_threads","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements"
"streamcluster","1MB","8","LRU","4","399367851500","796937005","1.0","6.08578","0.398861","1.53816","1.22581","6.39366","2.44574","0.0815774","0.0193862","0.0154496","2.02956","0.001459","27377"
"streamcluster","2MB","8","LRU","4","399367851500","796937005","1.0","7.86746","0.421592","1.54765","1.23338","7.83923","4.22742","0.104309","0.0288785","0.0230144","3.47513","0.001056","15932"
"streamcluster","4MB","8","LRU","4","399367851500","796937005","1.0","12.1458","0.522893","1.55954","1.24286","11.339","8.50577","0.20561","0.0407725","0.0324931","6.97491","0.001005","14163"
"streamcluster","8MB","8","LRU","4","399367851500","796937005","1.0","20.2101","0.69048","1.57743","1.25712","17.9135","16.57","0.373197","0.0586646","0.046752","13.5494","0.000979","13400"
"swaptions","256kB","8","LRU","4","174747013500","347705633","1.0","4.21513","0.333859","1.7456","0.606956","2.18866","0.575086","0.016576","0.00348225","0.0012108","0.206935","0.011028","54829"
"swaptions","512kB","8","LRU","4","174747013500","347705633","1.0","4.83867","0.354841","1.74734","0.607559","2.41337","1.19863","0.0375574","0.00521554","0.00181347","0.431642","0.002954","13216"
"swaptions","1MB","8","LRU","4","174747013500","347705633","1.0","6.08578","0.398861","1.75015","0.608539","2.86329","2.44574","0.0815774","0.00803383","0.00279341","0.881556","0.002409","10198"
"swaptions","2MB","8","LRU","4","174747013500","347705633","1.0","7.86746","0.421592","1.75416","0.609933","3.49208","4.22742","0.104309","0.012043","0.00418743","1.51035","0.001549","5780"
"swaptions","4MB","8","LRU","4","174747013500","347705633","1.0","12.1458","0.522893","1.75911","0.611654","5.01663","8.50577","0.20561","0.016994","0.0059089","3.0349","0.001178","4014"
"swaptions","8MB","8","LRU","4","174747013500","347705633","1.0","20.2101","0.69048","1.76657","0.614247","7.88149","16.57","0.373197","0.0244499","0.00850137","5.89976","0.001119","3692"
"vips","256kB","8","LRU","4","784043728000","1568087819","1.0","4.21513","0.333859","1.52521","2.39167","9.52488","0.575086","0.016576","0.00791222","0.0124071","0.940185","0.664257","15619923"
"vips","512kB","8","LRU","4","784043728000","1568087819","1.0","4.83867","0.354841","1.52814","2.39626","10.5401","1.19863","0.0375574","0.0108441","0.0170046","1.95545","0.50684","11531764"
"vips","1MB","8","LRU","4","784043728000","1568087819","1.0","6.08578","0.398861","1.53051","2.39998","12.5685","2.44574","0.0815774","0.013212","0.0207176","3.98377","0.378425","8385322"
"vips","2MB","8","LRU","4","784043728000","1568087819","1.0","7.86746","0.421592","1.53631","2.40906","15.407","4.22742","0.104309","0.0190048","0.0298012","6.82233","0.335156","7325163"
"vips","4MB","8","LRU","4","784043728000","1568087819","1.0","12.1458","0.522893","1.5396","2.41423","22.2799","8.50577","0.20561","0.0222996","0.0349677","13.6952","0.147608","3200783"
"vips","8MB","8","LRU","4","784043728000","1568087819","1.0","20.2101","0.69048","1.54382","2.42085","35.1948","16.57","0.373197","0.0265231","0.0415905","26.6101","0.01974","416899"
"x264","256kB","8","LRU","4","2079262202500","4158403537","1.0","4.21513","0.333859","1.17463","4.8846","23.8011","0.575086","0.016576","0.00327221","0.0136072","2.47398","0.268634","10196890"
"x264","512kB","8","LRU","4","2079262202500","4158403537","1.0","4.83867","0.354841","1.17538","4.88769","26.4844","1.19863","0.0375574","0.00401463","0.0166945","5.15725","0.098647","3577307"
"x264","1MB","8","LRU","4","2079262202500","4158403537","1.0","6.08578","0.398861","1.17697","4.89433","31.8601","2.44574","0.0815774","0.00561098","0.0233327","10.5329","0.050776","1800890"
"x264","2MB","8","LRU","4","2079262202500","4158403537","1.0","7.86746","0.421592","1.17963","4.90537","39.3746","4.22742","0.104309","0.00826643","0.0343751","18.0474","0.037366","1314910"
"x264","4MB","8","LRU","4","2079262202500","4158403537","1.0","12.1458","0.522893","1.18285","4.91879","57.6004","8.50577","0.20561","0.011492","0.0477882","36.2732","0.024243","847407"
"x264","8MB","8","LRU","4","2079262202500","4158403537","1.0","20.2101","0.69048","1.18764","4.93869","91.8516","16.57","0.373197","0.0162775","0.0676884","70.5245","0.015316","524897"
