"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"facesim","256kB","8","LRU","2","1","[2,1]","6318610388500","12637221120","1.0","2.97019","0.191793","1.10046","13.9068","53.8655","1.150172","0.033152","0.01039582","0.1313743","15.0853","5.889719607563482","0.5849660000000001","144546097","0.9998775","0.999915","227410684"
"facesim","256kB","8","LRU","2","2","[2,2]","3375346063000","6750692833","1.8719887621348095","4.79021","0.350435","2.11798","14.2978","49.0008","1.150172","0.033152","0.01976487","0.1334265","8.121680000000001","5.873420485371499","0.5738495","145673717","0.9998635","0.9998485","228388765"
"facesim","256kB","8","LRU","2","4","[2,4]","1842071566000","3684143986","3.4301648274395102","8.43026","0.667718","4.01403","14.7882","48.3065","1.150172","0.033152","0.03674","0.1353555","4.4948999999999995","5.941403667483855","0.5734905","154518919","0.9998635","0.9998935","232640214"
"facesim","256kB","8","LRU","2","8","[2,8]","1094856414500","2189713618","5.771175288000607","15.7103","1.30228","7.29189","15.9672","53.2199","1.150172","0.033152","0.0619436","0.1356388","2.7267799999999998","5.936800775981227","0.5934980000000001","168289950","0.999819","0.999875","236578272"
"facesim","256kB","8","LRU","4","1","[4,1]","3375456002500","6750912712","1.8719277909691925","5.94039","0.383587","2.11791","14.2978","56.9904","2.300344","0.066304","0.01967713","0.1328386","16.109859999999998","5.754372100644232","0.5568339999999999","142730299","0.99986325","0.44122249999999996","194235627"
"facesim","256kB","8","LRU","4","2","[4,2]","1839143540000","3678287927","3.4356258593129976","9.58043","0.70087","4.02011","14.7871","52.6047","2.300344","0.066304","0.03797908","0.13969789999999999","8.84491","5.824820257359212","0.51907525","144616945","0.99988625","0.459752","194994846"
"facesim","256kB","8","LRU","4","4","[4,4]","1094797349000","2189595487","5.771486649031443","16.8605","1.33544","7.29163","15.9657","55.8075","2.300344","0.066304","0.0610722","0.1337235","5.31573","5.839563545587467","0.59134075","156166263","0.99987625","0.46184","199756783"
"ferret","256kB","8","LRU","2","1","[2,1]","760286572000","1520573428","1.0","2.97019","0.191793","0.798197","1.21372","6.02175","1.150172","0.033152","0.00332907","0.0050621","1.8043930000000001","1.1894630284715964","0.22408050000000002","3163670","0.978461","0.9938645","4307571"
"ferret","256kB","8","LRU","2","2","[2,2]","462846140000","925692714","1.6426330303816132","4.79021","0.350435","1.44288","1.33566","6.09432","1.150172","0.033152","0.0060652","0.00561451","1.101009","1.4687973812278186","0.248584","3943495","0.9929595","0.995563","6435701"
"ferret","256kB","8","LRU","2","4","[2,4]","463193188000","926386929","1.6414020755251826","8.43026","0.667718","2.17698","2.01672","10.445","1.150172","0.033152","0.00632546","0.00585983","1.1020759999999998","1.7851995038562074","0.296506","4849548","0.9888","0.9938825","6429891"
"ferret","256kB","8","LRU","2","8","[2,8]","441535286500","883065896","1.7219252095315887","15.7103","1.30228","3.68209","3.25153","18.2748","1.150172","0.033152","0.00698279","0.00616626","1.051119","1.899344244983578","0.28230750000000004","5169310","0.9863655","0.9910935000000001","6264583"
"ferret","256kB","8","LRU","4","1","[4,1]","524660999000","1049322457","1.4491002435488713","5.94039","0.383587","1.35848","1.42548","8.06137","2.300344","0.066304","0.004963401","0.0052082050000000005","2.488584","1.188149923611184","0.2128285","3134632","0.99139875","-0.0060902499999999915","4067020"
"ferret","256kB","8","LRU","4","2","[4,2]","467875864500","935746112","1.624985034402152","9.58043","0.70087","2.16941","2.03002","11.6507","2.300344","0.066304","0.00582306","0.005448909","2.220031","1.4418747323418437","0.18916275","3857852","0.989403","-0.004627250000000027","4445968"
"ferret","256kB","8","LRU","4","4","[4,4]","426569079000","853126093","1.7823548482181988","16.8605","1.33544","3.70721","3.16272","18.6862","2.300344","0.066304","0.006587676999999999","0.005620117","2.024668","1.517918651080883","0.20645125","4057833","0.9934539999999998","-0.006590749999999979","4797182"
"fluidanimate","256kB","8","LRU","2","1","[2,1]","504276080000","1008552160","1.0","2.97019","0.191793","0.912224","0.920026","4.10905","1.150172","0.033152","0.001292884","0.001303941","1.194748","0.6795844228427169","0.5344964999999999","1261670","0.9993065","0.9988445","2216119"
"fluidanimate","256kB","8","LRU","2","2","[2,2]","261556791500","523112480","1.9279833660248367","4.79021","0.350435","1.80864","0.946124","3.63526","1.150172","0.033152","0.0026162399999999997","0.001368587","0.62038","0.6993683622638577","0.5436395","1329566","0.9915339999999999","0.9976735000000001","2334060"
"fluidanimate","256kB","8","LRU","2","4","[2,4]","151850685000","303659445","3.321326494553792","8.43026","0.667718","3.4109","1.03575","3.79844","1.150172","0.033152","0.00469386","0.0014253360000000001","0.360753","0.6871879384729327","0.547786","1493460","0.9986805000000001","0.9983865000000001","2462162"
"fluidanimate","256kB","8","LRU","2","8","[2,8]","86233696000","172332369","5.852366365369236","15.7103","1.30228","6.5227","1.12407","4.0559","1.150172","0.033152","0.00925478","0.001594897","0.20552","0.7616547725773396","0.6046525","1906414","0.9985535","0.9988405","2998474"
"fluidanimate","256kB","8","LRU","4","1","[4,1]","261555153000","523110311","1.9279913601244232","5.94039","0.383587","1.80863","0.946111","4.25425","2.300344","0.066304","0.002587196","0.001353389","1.2393709999999998","0.6750784681662887","0.5190300000000001","1267910","0.999936","-0.010062499999999974","1861374"
"fluidanimate","256kB","8","LRU","4","2","[4,2]","151851727000","303661871","3.321299959980817","9.58043","0.70087","3.41108","1.03582","4.15785","2.300344","0.066304","0.0048740699999999994","0.001480069","0.720141","0.7457840256552024","0.59821375","1466859","0.9998199999999999","-0.003748499999999988","2313275"
"fluidanimate","256kB","8","LRU","4","4","[4,4]","86233114000","172331759","5.85238708089784","16.8605","1.33544","6.52287","1.1241","4.25984","2.300344","0.066304","0.00943601","0.001626123","0.40947500000000003","0.774216158886592","0.6009505","1684972","0.9994495","-0.004680249999999997","2513677"
"freqmine","256kB","8","LRU","2","1","[2,1]","2141826968000","4283654209","1.0","2.97019","0.191793","0.75238","3.22294","16.7678","1.150172","0.033152","0.005769399999999999","0.024714100000000003","5.09366","4.084471760225099","0.771969","4379957","0.9992924999999999","0.9994274999999999","57606691"
"freqmine","256kB","8","LRU","2","2","[2,2]","1332521706000","2665043916","1.6073484505386288","4.79021","0.350435","1.35322","3.60638","17.3064","1.150172","0.033152","0.008763","0.0233538","3.1769600000000002","3.7840249725279165","0.7345889999999999","5250365","0.9992725","0.999387","56063295"
"freqmine","256kB","8","LRU","2","4","[2,4]","947848688000","1895697943","2.2596712861443455","8.43026","0.667718","2.33941","4.43482","21.6818","1.150172","0.033152","0.01293642","0.0245236","2.26775","3.9790474585047786","0.7363465","6531441","0.9992859999999999","0.9994375","57935488"
"freqmine","256kB","8","LRU","2","8","[2,8]","765473708000","1530948025","2.798040259400707","15.7103","1.30228","4.03652","6.17971","32.2251","1.150172","0.033152","0.01931497","0.029570199999999998","1.841177","4.71823960330481","0.7348414999999999","8168408","0.9995704999999999","0.999636","65719830"
"freqmine","256kB","8","LRU","4","1","[4,1]","1333015887500","2666032284","1.606752564366171","5.94039","0.383587","1.35695","3.61767","20.4776","2.300344","0.066304","0.012231589999999999","0.03260982999999999","6.34216","5.338736064083979","0.7545620000000001","4479423","0.9995775","-0.009180249999999973","38514029"
"freqmine","256kB","8","LRU","4","2","[4,2]","949818067000","1899636687","2.2549860393383736","9.58043","0.70087","2.34624","4.45701","23.9877","2.300344","0.066304","0.0183879","0.03493032","4.53069","5.64076060354513","0.73273275","5375882","0.999557","-0.011103749999999968","39182424"
"freqmine","256kB","8","LRU","4","4","[4,4]","765204898500","1530410403","2.7990231905134273","16.8605","1.33544","4.04342","6.18809","34.0354","2.300344","0.066304","0.02627869","0.04021718","3.66216","6.6484727013896725","0.7986435","6752116","0.99965825","-0.014095999999999997","43466334"
"streamcluster","256kB","8","LRU","2","1","[2,1]","596437415500","1192881089","1.0","2.97019","0.191793","0.862348","1.02868","4.80055","1.150172","0.033152","0.01149242","0.01370908","1.425274","9.201239976247354","0.783104","16676197","0.973635","0.9765935","24132043"
"streamcluster","256kB","8","LRU","2","2","[2,2]","399404442000","796912550","1.4968782823159203","4.79021","0.350435","1.53896","1.22642","5.32307","1.150172","0.033152","0.02008804","0.01600837","0.959014","8.963460932510587","0.6707475","16430181","0.9906565","0.9869955","29207492"
"streamcluster","256kB","8","LRU","2","4","[2,4]","352703373000","705031439","1.691954461905918","8.43026","0.667718","2.56441","1.80799","8.22235","1.150172","0.033152","0.027839000000000003","0.01962743","0.853908","7.2072636531804175","0.4774575","15449772","0.9994810000000001","0.999541","31405305"
"streamcluster","256kB","8","LRU","2","8","[2,8]","484222033000","967246911","1.2332746431484856","15.7103","1.30228","4.1404","4.00479","20.4602","1.150172","0.033152","0.0315154","0.030483200000000002","1.17505","5.201937746517443","0.312284","15642822","0.9972805","0.998224","37749378"
"streamcluster","256kB","8","LRU","4","1","[4,1]","399231307500","796865451","1.4969667558093191","5.94039","0.383587","1.53573","1.22377","6.26312","2.300344","0.066304","0.01700691","0.01355223","1.899451","6.249852725445718","0.4355865","9872523","0.997071","-0.038126750000000015","18831111"
"streamcluster","256kB","8","LRU","4","2","[4,2]","370468194500","740134948","1.6117075571467272","9.58043","0.70087","2.51016","1.85786","9.4674","2.300344","0.066304","0.02533534","0.0187516","1.77039","6.00954491130995","0.36438975","10497224","0.998864","-0.04281000000000004","15007599"
"streamcluster","256kB","8","LRU","4","4","[4,4]","494521109500","988095479","1.2072528559762796","16.8605","1.33544","4.11663","4.06762","22.047","2.300344","0.066304","0.03355309","0.03315377","2.371627","5.255156661295626","0.273366","9106715","0.99943275","-0.05821925","18581022"
"swaptions","256kB","8","LRU","2","1","[2,1]","325194503500","650389011","1.0","2.97019","0.191793","0.906557","0.589615","2.64614","1.150172","0.033152","0.00171995","0.001118637","0.77074","0.010466829556381245","0.0031545","11680","0.9987215","0.998857","23141"
