"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"swaptions","256kB","8","LRU","2","2","[2,2]","163110020500","326220042","1.0","4.79021","0.350435","1.81275","0.591355","2.26834","1.150172","0.033152","0.00397765","0.00129759","0.387321","0.0228125","19392","0.992642","0.999214","174831"
"swaptions","256kB","8","IbRDP","2","2","[2,2]","163033548500","325945945","1.0008409277802184","4.79021","0.350435","1.81342","0.591076","2.26665","1.150172","0.033152","0.00403763","0.00131605","0.387016","0.0327155","22672","0.9872525000000001","0.998447","230100"
"swaptions","256kB","8","RRIP","2","2","[2,2]","163150567500","326301135","0.9997514780327075","4.79021","0.350435","1.81277","0.59151","2.26891","1.150172","0.033152","0.00397633","0.00129748","0.387417","0.0289075","22542","0.974229","0.9972375","217533"
"swaptions","256kB","8","DBRSP","2","2","[2,2]","163111731500","326202729","1.000053074356714","4.79021","0.350435","1.81326","0.591489","2.26838","1.150172","0.033152","0.004471360000000001","0.001458571","0.387462","0.097334","309111","0.7864765","0.8483795000000001","580461"
"vips","256kB","8","LRU","2","2","[2,2]","715642047500","1431284386","1.0","4.79021","0.350435","1.60015","2.29027","9.648","1.150172","0.033152","0.0079814","0.01142365","1.705097","0.565168","12955583","0.998386","0.99848","19973777"
"vips","256kB","8","IbRDP","2","2","[2,2]","715644902000","1431290094","0.9999960119894465","4.79021","0.350435","1.60057","2.29088","9.64864","1.150172","0.033152","0.0084065","0.01203214","1.705711","0.6266685000000001","15480367","0.9864200000000001","0.9974235","21793359"
"vips","256kB","8","RRIP","2","2","[2,2]","715641883500","1431284058","1.0000002291648524","4.79021","0.350435","1.6007","2.29106","9.64879","1.150172","0.033152","0.00853073","0.012209890000000001","1.705882","0.643922","15273682","0.9960285","0.9982165000000001","22535763"
"vips","256kB","8","DBRSP","2","2","[2,2]","715642541500","1431285373","0.9999993104100562","4.79021","0.350435","1.60099","2.29147","9.6492","1.150172","0.033152","0.008816629999999999","0.012619100000000001","1.706293","0.6902705","17382844","0.980283","0.9971765","23894298"
"x264","256kB","8","LRU","2","2","[2,2]","2079267501000","4158379102","1.0","4.79021","0.350435","1.17448","4.88393","26.2607","1.150172","0.033152","0.0031131600000000002","0.01294567","4.93365","0.2302505","8371981","0.9969785","0.9978825","12056368"
"x264","256kB","8","IbRDP","2","2","[2,2]","2079267733000","4158378974","1.0000000307812253","4.79021","0.350435","1.17433","4.8833","26.2601","1.150172","0.033152","0.0029622800000000003","0.012318289999999999","4.9330300000000005","0.190698","7824437","0.990289","0.9969615000000001","9957298"
"x264","256kB","8","RRIP","2","2","[2,2]","2079267501000","4158378894","1.000000050019492","4.79021","0.350435","1.17433","4.88332","26.2601","1.150172","0.033152","0.00296662","0.01233631","4.93305","0.19075550000000002","7682536","0.9939169999999999","0.99664","9856070"
"x264","256kB","8","DBRSP","2","2","[2,2]","2079267705500","4158378718","1.0000000923436816","4.79021","0.350435","1.17464","4.88461","26.2614","1.150172","0.033152","0.0032768800000000002","0.01362652","4.93434","0.2730395","12603131","0.991044","0.9973025","14195111"
